order_id,customer_id,store_lat,store_lon,customer_lat,customer_lon,order_timestamp,delivery_timestamp,distance_km,delivery_time_minutes,order_volume,store_capacity,active_orders,traffic_density,weather_conditions,cluster
da586963-0108-4b6f-963d-8e8b28f849bd,5575c88d-f534-4a95-b8f9-cab25ae7fee6,18.51789523603107,73.93657807861982,18.515838406368204,73.87473334883934,2025-03-05T09:54:16.806744,2025-03-05T10:58:16.806758,6.53,64,10,199,27,1.98,Stormy,0
19da75aa-0698-45f9-9c20-22a6e88e7e3f,e0cd5792-bcb9-419c-a71f-a4f29299366d,18.632538870611977,73.87640181653222,18.64235453665732,73.92097342240001,2025-03-05T09:54:16.807169,2025-03-05T10:18:16.807179,4.83,24,5,165,12,1.03,Clear,2
ef67bae0-ac3c-4620-90e7-0be8f79fd679,654e125b-534c-4b2a-8aa6-016bc3509835,18.46278588034733,73.8975833423349,18.54115641181636,73.89969454779612,2025-03-05T09:54:16.807495,2025-03-05T11:35:16.807503,8.68,101,3,128,42,2.35,Rainy,2
0f42457d-323d-470c-b90e-c4b2d1570de0,07bd5b2e-8a2a-47b3-9d70-b9c45a7af1e4,18.53494561122744,73.92995591640513,18.63343612057456,73.75193553917673,2025-03-05T09:54:16.810083,2025-03-05T13:18:16.810094,21.72,204,9,120,21,1.88,Stormy,3
9a3c529a-feaa-481f-98c8-523dd669e162,87e3ce25-5c26-4d08-8d3e-ba68634af659,18.51789523603107,73.93657807861982,18.49215119415886,73.92420573524417,2025-03-05T09:54:16.810405,2025-03-05T10:21:16.810412,3.13,27,3,66,19,1.74,Clear,2
5e70ed18-6645-45ec-8df8-41bd0895f8ca,5f0ef315-ccf7-4618-8dfb-eaea6b7e796a,18.632538870611977,73.87640181653222,18.47225877695611,73.82836981107053,2025-03-05T09:54:16.810702,2025-03-05T12:53:16.810709,18.45,179,6,194,22,1.95,Rainy,3
91d79bdc-ba81-4f40-969e-47c5e18a6738,c469fbc7-5b40-4e2f-af81-b88a9483a869,18.51789523603107,73.93657807861982,18.58004515271495,73.81012240676786,2025-03-05T09:54:16.810977,2025-03-05T11:54:16.810983,15.02,120,5,199,47,1.61,Rainy,4
2dd6d9b6-bc8d-45de-baab-cdd9832832ef,51d44b63-0b4f-401c-9258-0217e7b4221a,18.51789523603107,73.93657807861982,18.4732301383926,73.79883341458037,2025-03-05T09:54:16.811265,2025-03-05T11:46:16.811272,15.36,112,3,178,24,1.46,Cloudy,4
e380c47d-bf1d-4d60-8ebc-aa12a419fe82,3da9baf5-ca38-4eac-99ef-e07418880b34,18.632538870611977,73.87640181653222,18.50130505849252,73.85158519238836,2025-03-05T09:54:16.811542,2025-03-05T12:29:16.811549,14.76,155,7,73,47,2.11,Rainy,3
d2b2a298-e854-4057-b222-9cbd82c7f2d7,ddcebbf6-0f32-4053-a274-a83f5ea05473,18.53494561122744,73.92995591640513,18.52258065052532,73.85409980435941,2025-03-05T09:54:16.812410,2025-03-05T11:10:16.812421,8.13,76,10,75,50,1.89,Cloudy,0
ef7668bd-8ea7-416a-b455-a7394c7b7dc2,e695c256-835a-460c-86c5-da132a0803cb,18.63368437027885,73.85809858464798,18.532065179230894,73.78099447835187,2025-03-05T09:54:16.812741,2025-03-05T11:17:16.812751,13.88,83,4,133,34,1.21,Rainy,4
ac9e42cb-2528-4041-9f6c-fb32dfd08f4b,871519f6-6f4c-4b62-8f21-198a957b0685,18.51789523603107,73.93657807861982,18.485349984448483,73.83561497007113,2025-03-05T09:54:16.813027,2025-03-05T11:48:16.813035,11.25,114,7,122,28,2.03,Cloudy,3
c8f5c9dc-e21f-4176-9c40-b57b296df14c,e5d97a25-033b-430c-81f5-bcecc459544d,18.53494561122744,73.92995591640513,18.46694734529724,73.76165355968901,2025-03-05T09:54:16.813313,2025-03-05T12:51:16.813320,19.3,177,10,60,22,1.84,Clear,3
4ad870c9-1c52-4f43-b614-de38fb718f25,65de4701-ff8b-4457-acad-ebd46dd1bac2,18.63368437027885,73.85809858464798,18.540005710168195,73.92025938354575,2025-03-05T09:54:16.813583,2025-03-05T12:19:16.813589,12.27,145,7,160,35,2.37,Rainy,3
99f56662-e9c0-4056-b7b4-d918d8ecc4fa,4925f93f-ab5e-4cbb-829d-4b6e6d0a2398,18.632538870611977,73.87640181653222,18.56173392573666,73.9434110726628,2025-03-05T09:54:16.813869,2025-03-05T11:10:16.813876,10.56,76,9,87,7,1.45,Cloudy,0
509cde5a-f2e1-4f13-ba59-3e625de00427,632616be-7e84-4c11-a7b0-e9eed09be9c8,18.46278588034733,73.8975833423349,18.491993597993865,73.83337427558372,2025-03-05T09:54:16.814140,2025-03-05T10:54:16.814145,7.51,60,10,97,4,1.61,Cloudy,0
c15aad13-04cf-41c0-aea9-0ed7d8193e00,d8f19fd2-7fdd-4d64-8425-243e3da0bf59,18.46278588034733,73.8975833423349,18.49174352699521,73.76513763599479,2025-03-05T09:54:16.814419,2025-03-05T11:37:16.814428,14.35,103,7,162,38,1.44,Cloudy,4
